Topic Taxonomy Revisions,,,,,,,,,,,"Andy Fitzgerald Consulting, LLC  "
Revised Taxonomy,,,,,,,,,,,"Last Updated: Last Updated: January 23, 2025 17:35:06   "
Hierarchy,,,,,,Documentation,,,Additional Labels,,Notes
Top Concept,L1,L2,L3,L4,L5,Definition,Scope Note,Examples,Alternate Labels,Hidden Labels,
Discovery,,,,,,"Discovery encompasses the pursuits and techniques of learning what can be known about a product or content collection, its intended and actual use cases, and the motivations for, benefits of, and costs incurred by building and maintaining it. ",,,Research Methods,,
,Content Discovery,,,,,"Content discovery is the broad, multi-step process of finding and understanding the meaning and structure of an exisiting collection of content.",,,,,
,,Content Analysis,,,,"Analysis of the natural language elements of a piece or body of content with the aid of NLP or machine learning technologies, with the goal of understanding at a high level the topic, sentiment, complexity, and composition of a large body of content. ","Used for software assisted work, such as NLP or ML supported analysis",,"NLP Analysis, Natural Language Processing",,
,,Content Auditing,,,,"A content audit is the systematic sampling of existing content aimed at better understanding the overall landscape of a content c
ollection. Conent auditing looks at representative sets of content types and assesses structural elements (titles, descriptions, etc), metadata, content quality, up-to-date-ness, relevance, and other constituent features. ",,,Content Assessment,,
,,Structural Analysis ,,,,"The systematic assessment of a content collections structure and composition, including individual content elements' structural components (attributes). Structural analysis intends to capture the various means by which content elements are related in a given implementation, generally with the goal of retaining what works and improving what doesn't. ",,,,,
,Contextual Research,,,,,"Contextual research is the ensemble of practices used to understand the business, organizational, technical, and market conditions in which a content collection and/or product exist. ",,,,,
,,Competitive Review,,,,"The assessment of competitor products, sites, or services along a set of evaluation metrics important to the organization for whome the assessment is being performed.",,,,,
,,Heuristic Analysis,,,,The assessment of the target site's adherence to (or divergence from) established user experience best practices. ,,,,,
,,Process Mapping,,,,"The discovery and visual mapping of business processes, particulalry those involving handoffs across system and individual actor boundaries. Process mapping seeks to expose inefficiencies and unintended consequences of systems in operation. ",,,,,
,,Stakeholder Engagement,,,,"Stakeholder engagement is the active process of collaborating with individuals or groups who have an interest in a project or organization, ensuring their perspectives are considered in decision-making and communication. It involves gathering insights and feedback from these stakeholders to ensure mission-driven initiatives resonate with the audience, while also considering their needs and ensuring their interests are addressed throughout the project or organizational activities.",,,,,
,User Research,,,,,"User research focuses on understanding user behaviors, needs, and motivations through observation techniques, task analysis, and other feedback methodologies. ",,,,,
